Restaurant_id,Restaurant_link,Retaurant Name,Rating,price_for_one_two,Cousines
24990,https://www.swiggy.com/restaurants/bhartiya-jalpan-100-feet-road-indiranagar-bangalore-24990,Bhartiya Jalpan,4.1,₹300 FOR TWO,"North Indian, Sweets, Desserts, Chaat"
448568,https://www.swiggy.com/restaurants/sultan-rolls-and-sandwiches-sg-palya-btm-layout-bangalore-448568,Sultan Rolls & Sandwiches,3.6,₹150 FOR TWO,"Snacks, Chinese, Biryani"
195274,https://www.swiggy.com/restaurants/lassi-and-juice-hkp-road-shivajinagar-bangalore-195274,Lassi and Juice,4,₹150 FOR TWO,"Continental, Desserts, Juices, Ice Cream"
156627,https://www.swiggy.com/restaurants/sreeraj-lassi-bar-1973s-palace-road-race-course-road-bangalore-156627,Sreeraj Lassi Bar 1973s,4.3,₹250 FOR TWO,Beverages
215832,https://www.swiggy.com/restaurants/asha-food-camp-3rd-block-rajajinagar-bangalore-215832,Asha Food Camp,4.4,₹250 FOR TWO,Indian
503961,https://www.swiggy.com/restaurants/istah-the-mediterranean-way-akkithimanahalli-santhi-nagar-bangalore-503961,Istah - The Mediterranean Way,4.3,₹250 FOR TWO,"Arabian, Biryani, Mediterranean, Lebanese, Snacks, Beverages"
12396,https://www.swiggy.com/restaurants/new-shanthi-sagar-rv-road-jayanagar-bangalore-12396,New Shanthi Sagar,4,₹400 FOR TWO,"North Indian, Chinese, Fast Food"
317934,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-5th-cross-wilson-garden-bangalore-317934,Kwality Walls Frozen Dessert and Ice Cream Shop,4.6,₹200 FOR TWO,"Desserts, Ice Cream, Ice Cream Cakes"
61597,https://www.swiggy.com/restaurants/sagar-restaurant-nehru-circle-seshadripuram-bangalore-61597,Sagar Restaurant,4.1,₹399 FOR TWO,"North Indian, Chinese, Chaat, Tandoor, Jain"
2408,https://www.swiggy.com/restaurants/suchi-ruchi-10th-cross-road-malleshwaram-bangalore-2408,Suchi Ruchi,4,₹200 FOR TWO,"South Indian, Chinese, Chaat, North Indian, Snacks"
414271,https://www.swiggy.com/restaurants/thar-the-taste-of-rajasthan-5th-block-koramangala-bangalore-414271,THAR the taste of Rajasthan,4.1,₹100 FOR TWO,"Thalis, Sweets"
130367,https://www.swiggy.com/restaurants/new-alameen-restaurant-bazaar-street-halasuru-bangalore-130367,New Alameen Restaurant,3.9,₹300 FOR TWO,"Biryani, Kerala, Meat, North Indian, South Indian"
657064,https://www.swiggy.com/restaurants/pizza-house-am-road-sulthangunta-shivaji-nagar-bangalore-657064,Pizza House,3.1,₹400 FOR TWO,Pizzas
55531,https://www.swiggy.com/restaurants/andhra-ruchulu-jayanagar-bangalore-55531,Andhra Ruchulu,4.3,₹500 FOR TWO,"Andhra, Chettinad, Chinese, Desserts, North Indian, Seafood"
113839,https://www.swiggy.com/restaurants/sagar-fast-food-8th-block-koramangala-bangalore-113839,Sagar fast food,4.4,₹200 FOR TWO,"Chinese, South Indian, North Indian"
61790,https://www.swiggy.com/restaurants/sardarji-londonwaley-7th-block-koramangala-bangalore-61790,Sardarji Londonwaley,3.8,₹350 FOR TWO,"Indian, North Indian, Punjabi, Chinese, Biryani"
361866,https://www.swiggy.com/restaurants/peetuk-7th-cross-domlur-bangalore-361866,Peetuk,4.1,₹500 FOR TWO,"Bengali, Chinese"
502957,https://www.swiggy.com/restaurants/andhra-gunpowder-shivananda-circle-seshadripuram-bangalore-502957,Andhra Gunpowder,4.4,₹350 FOR TWO,"Andhra, Biryani, South Indian"
195407,https://www.swiggy.com/restaurants/paradise-biryani-60-ft-road-rajajinagar-bangalore-195407,Paradise Biryani,3.9,₹400 FOR TWO,"Biryani, Kebabs, North Indian, Hyderabadi"
456784,https://www.swiggy.com/restaurants/roti-wale-khb-colony-koramangala-bangalore-456784,Roti Wale,4.5,₹300 FOR TWO,"Home Food, North Indian, Thalis"
322,https://www.swiggy.com/restaurants/madurai-idly-shop-7th-block-koramangala-bangalore-322,Madurai Idly Shop,4.1,₹150 FOR TWO,South Indian
252412,https://www.swiggy.com/restaurants/anjappar-brigade-road-bangalore-252412,Anjappar,4,₹400 FOR TWO,"Chettinad, Thalis, Biryani, Chinese, Tandoor, South Indian, North Indian"
224982,https://www.swiggy.com/restaurants/oru-vadakkan-cafe-5th-block-koramangala-bangalore-224982,Oru Vadakkan Cafe,4.1,₹400 FOR TWO,"Kerala, Biryani, South Indian, Chinese, Seafood, Beverages"
42061,https://www.swiggy.com/restaurants/gokul-veg-dvg-road-basavanagudi-bangalore-42061,Gokul Veg,4.3,₹500 FOR TWO,"North Indian, Jain, Indian, Beverages, Desserts"
